"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CREATED_BY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"GENDER";"HEIGHT";"IR";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MATES";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"PACKAGE";"PACKAGING";"PART-NUMBER";"PINS";"POPULARITY";"PROD_ID";"ROWS";"SF_SKU";"SPICEPREFIX";"TYPE";"VALUE";
"BT_SENSOR";"HM-10-BOARD";"HM-10-BOARD";"26.9X13X2.2_BOARD";"HM Bluetooth module use TI CC2540 or CC2541, Master and slave roles in one, transmission version and remote control version and PIO state acquisition functions in one, Support the AT command modify module parameters, Convenient and flexible.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"25pF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C2";"25pF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C4";"100nF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C5";"10uF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C6";"10uF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C7";"100nF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C8";"100nF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C10";"100nF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C11";"100nF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"C12";"100nF";"CC0805KRX7R9BB104";"CAP_0805";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"G1";"AB9V";"AB9V";"AB9V";"9-V BATTERY CLIP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"32";"";"";"";"";"";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";"";
"H3";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";"";"";"";
"J1";"TP4056";"TP4056";"SOIC127P600X175-9N";"1A Standalone Linear Li-lon Battery Charger, SOP-8";"";"";"";"";"1A Standalone Linear Li-lon Battery Charger, SOP-8";"";"";"1.75mm";"";"";"NanJing Top Power";"TP4056";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"6130XX11821_61300411821";"61300411821";"WR-PHD 2.54 mm Socket Header";"";"";"";"https://katalog.we-online.com/em/datasheet/61300411821.pdf";"";"";"Socket Header";"";"3A";"";"";"";"WR-PHD 2.54mm SMT Pin Header/THT Angled Pin Header/THT Pin Header";"";"";"";"";"Tray";" 61300411821 ";" 4 ";"";"";"Single";"";"";"Straight";"";
"J4";"";"6100XX18221_61000618221";"61000618221";"WR-PHD 2.54 mm SMT Pin Header";"";"";"";"https://katalog.we-online.com/em/datasheet/61000618221.pdf";"";"";"Pin Header";"";"3A";"";"";"";"WR-PHD 2.54mm Angled Socket Header/SMT Socket Header/Socket Header/Socket Header Bottom Entry";"";"";"";"";"Tube";" 61000618221 ";" 6 ";"";"";"Single";"";"";"Straight Type 1";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LS4";"BUZZER";"BUZZER-SMD_KIT";"BUZZER-CCV-KIT";"Buzzer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"COMP-08568";"";"";"";"";"";
"NUCLEO_STM32";"STM32";"STM32L031K6T6TR";"QFP80P900X900X160-32N";"STMICROELECTRONICS - STM32L031K6T6TR - ARM MCU, STM32 Family STM32L0 Series Microcontrollers, ARM Cortex-M0+, 32bit, 32 MHz, 32 KB, 8 KB";"STM32L031K6T6TR";"https://www.arrow.com/en/products/stm32l031k6t6tr/stmicroelectronics";"";"";"STMICROELECTRONICS - STM32L031K6T6TR - ARM MCU, STM32 Family STM32L0 Series Microcontrollers, ARM Cortex-M0+, 32bit, 32 MHz, 32 KB, 8 KB";"";"";"1.6mm";"";"";"STMicroelectronics";"STM32L031K6T6TR";"";"511-STM32L031K6T6TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32L031K6T6TR/?qs=xwQlLnDx56Cmxri8cgW0QQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"500mA/300V";"TRANS_NPN-MMBTA42";"SOT23-3";"NPN transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-09116";"";"";"";"";"500mA/300V";
"R1";"680";"CRCW08050000Z0EA";"RES_0805";"RES SMD 0 OHM JUMPER 1/8W 0805";"";"";"PCBLayout.com";"";"";"541-0.0ATR-ND";"";"";"";"Vishay Dale";"";"";"";"";"";"CRCW08050000Z0EA";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
"R2";"10K";"CRCW08050000Z0EA";"RES_0805";"RES SMD 0 OHM JUMPER 1/8W 0805";"";"";"PCBLayout.com";"";"";"541-0.0ATR-ND";"";"";"";"Vishay Dale";"";"";"";"";"";"CRCW08050000Z0EA";"SMD 0805";"";"";"";"";"";"";"";"";"";"";
